CAS_Reg,Param,ParamGroup,USGSPCode
NULL,"Benzeneethanamine, .alpha.-methyl-, (.alpha.S)-, sulfate (2:1)",NULL,NULL
NULL,"Benzenemethanol, .alpha.-[(1R)-1-aminoethyl]-, hydrochloride (1:1), (.alpha.S)-rel-",NULL,NULL
NULL,"Benzenemethanol, .alpha.-[(1S)-1-(methylamino)ethyl]-, (.alpha.S)-",NULL,NULL
NULL,Benzidine,NULL,NULL
NULL,Benzo(b)fluoranthene,NULL,NULL
NULL,Benzo(b)fluoranthene,NULL,34230
NULL,Benzo(b)fluoranthene,NULL,34233
NULL,Benzo(b)fluoranthene,NULL,49458
NULL,Benzo[a]pyrene,NULL,NULL
NULL,Benzo[a]pyrene,NULL,34247
NULL,Benzo[a]pyrene,NULL,34248
NULL,Benzo[a]pyrene,NULL,34250
NULL,Benzo[a]pyrene,NULL,49389
NULL,Benzo[c]cinnoline,NULL,49468
NULL,Benzo[e]pyrene,NULL,NULL
NULL,Benzo[ghi]perylene,NULL,NULL
NULL,Benzo[ghi]perylene,NULL,34521
NULL,Benzo[ghi]perylene,NULL,34524
NULL,Benzo[ghi]perylene,NULL,49408
NULL,Benzo[k]fluoranthene,NULL,NULL
NULL,Benzo[k]fluoranthene,NULL,34242
NULL,Benzo[k]fluoranthene,NULL,34245
NULL,Benzo[k]fluoranthene,NULL,49397
NULL,Benzoic acid,NULL,NULL
NULL,Benzophenone,NULL,NULL
NULL,Benzophenone,NULL,62067
NULL,Benzophenone,NULL,62814
NULL,Benzoylecgonine hydrate,NULL,NULL
NULL,Benzoylecgonine-D3,NULL,NULL
NULL,Benzphetamine hydrochloride,NULL,NULL
NULL,Benzyl alcohol,NULL,NULL
NULL,Beryllium,NULL,NULL
NULL,Beryllium,NULL,01010
NULL,Beryllium,NULL,01011
NULL,Beryllium,NULL,01012
NULL,Beryllium,NULL,01013
NULL,Beryllium,NULL,04046
NULL,Beryllium,NULL,29822
NULL,Beryllium,NULL,34810
NULL,Beryllium,NULL,34812
NULL,Beta Cypermethrin,NULL,61586
NULL,Beta particle,NULL,NULL
NULL,Beta particle,NULL,03501
